Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,e(x),e(x)Orig
DEU,0,0,0,0,1,214.4,1871,1881,1,1,35.61,35.58
DEU,0,0,0,0,1,214.4,1871,1881,1,2,38.48,38.45
DEU,0,0,0,0,1,214.4,1871,1881,2,1,35.61,35.58
DEU,0,0,0,0,1,214.4,1871,1881,2,2,38.48,38.45
DEU,0,0,0,0,1,214.3,1881,1890,1,1,37.19,37.17
DEU,0,0,0,0,1,214.3,1881,1890,1,2,40.25,40.25
DEU,0,0,0,0,1,214.3,1881,1890,2,1,37.19,37.17
DEU,0,0,0,0,1,214.3,1881,1890,2,2,40.25,40.25
DEU,0,0,0,0,1,214.2,1891,1900,1,1,40.58,40.56
DEU,0,0,0,0,1,214.2,1891,1900,1,2,43.98,43.97
DEU,0,0,0,0,1,214.2,1891,1900,2,1,40.58,40.56
DEU,0,0,0,0,1,214.2,1891,1900,2,2,43.98,43.97
DEU,0,0,0,0,1,214.1,1901,1910,1,1,44.84,44.82
DEU,0,0,0,0,1,214.1,1901,1910,1,2,48.34,48.33
DEU,0,0,0,0,1,214.1,1901,1910,2,1,44.84,44.82
DEU,0,0,0,0,1,214.1,1901,1910,2,2,48.34,48.33
DEU,0,0,0,0,1,1133.1,1910,1911,1,1,47.43,47.41
DEU,0,0,0,0,1,1133.1,1910,1911,1,2,50.68,50.68
DEU,0,0,0,0,1,1133.1,1910,1911,2,1,47.43,47.41
DEU,0,0,0,0,1,1133.1,1910,1911,2,2,50.68,50.68
DEU,0,0,0,0,1,1134.1,1924,1926,1,1,55.99,55.97
DEU,0,0,0,0,1,1134.1,1924,1926,1,2,58.83,58.82
DEU,0,0,0,0,1,1134.1,1924,1926,2,1,55.99,55.97
DEU,0,0,0,0,1,1134.1,1924,1926,2,2,58.83,58.82
DEU,0,0,0,0,1,369.1,1932,1934,1,1,59.87,59.86
DEU,0,0,0,0,1,369.1,1932,1934,1,2,62.82,62.81
DEU,0,0,0,0,1,369.1,1932,1934,2,1,59.87,59.86
DEU,0,0,0,0,1,369.1,1932,1934,2,2,62.82,62.81
DEU,0,0,0,0,1,1800.01,1946,1947,4,1,57.74,57.72
DEU,0,0,0,0,1,1800.01,1946,1947,4,2,63.45,63.44
DEU,0,0,0,0,1,1006.1,1986,1988,1,1,71.7,71.7
DEU,0,0,0,0,1,1006.1,1986,1988,1,2,78.03,78.03
DEU,0,0,0,0,1,1006.1,1986,1988,2,1,71.7,71.7
DEU,0,0,0,0,1,1006.1,1986,1988,2,2,78.03,78.03
DEU,0,0,0,0,1,191.1,1991,1993,1,1,72.46,72.47
DEU,0,0,0,0,1,191.1,1991,1993,1,2,78.98,79.01
DEU,0,0,0,0,1,191.1,1991,1993,2,1,72.46,72.47
DEU,0,0,0,0,1,191.1,1991,1993,2,2,78.98,79.01
DEU,0,0,0,0,1,194.1,1992,1994,1,1,72.76,72.77
DEU,0,0,0,0,1,194.1,1992,1994,1,2,79.26,79.3
DEU,0,0,0,0,1,194.1,1992,1994,2,1,72.76,72.77
DEU,0,0,0,0,1,194.1,1992,1994,2,2,79.26,79.3
DEU,0,0,0,0,1,197.1,1993,1995,1,1,72.97,72.99
DEU,0,0,0,0,1,197.1,1993,1995,1,2,79.44,79.49
DEU,0,0,0,0,1,197.1,1993,1995,2,1,72.97,72.99
DEU,0,0,0,0,1,197.1,1993,1995,2,2,79.44,79.49
DEU,0,0,0,0,1,200.1,1994,1996,1,1,73.24,73.29
DEU,0,0,0,0,1,200.1,1994,1996,1,2,79.66,79.72
DEU,0,0,0,0,1,200.1,1994,1996,2,1,73.24,73.29
DEU,0,0,0,0,1,200.1,1994,1996,2,2,79.66,79.72
DEU,0,0,0,0,1,203.1,1995,1997,1,1,73.57,73.62
DEU,0,0,0,0,1,203.1,1995,1997,1,2,79.9,79.98
DEU,0,0,0,0,1,203.1,1995,1997,2,1,73.57,73.62
DEU,0,0,0,0,1,203.1,1995,1997,2,2,79.9,79.98
DEU,0,0,0,0,1,206.1,1996,1998,1,1,73.97,74.04
DEU,0,0,0,0,1,206.1,1996,1998,1,2,80.17,80.27
DEU,0,0,0,0,1,206.1,1996,1998,2,1,73.97,74.04
DEU,0,0,0,0,1,206.1,1996,1998,2,2,80.17,80.27
DEU,0,0,0,0,1,209.1,1997,1999,1,1,74.36,74.44
DEU,0,0,0,0,1,209.1,1997,1999,1,2,80.46,80.57
DEU,0,0,0,0,1,209.1,1997,1999,2,1,74.36,74.44
DEU,0,0,0,0,1,209.1,1997,1999,2,2,80.46,80.57
DEU,0,0,0,0,1,1005.4,1998,2000,1,1,74.69,74.78
DEU,0,0,0,0,1,1005.4,1998,2000,1,2,80.69,80.82
DEU,0,0,0,0,1,1005.4,1998,2000,2,1,74.69,74.78
DEU,0,0,0,0,1,1005.4,1998,2000,2,2,80.69,80.82
DEU,0,0,0,0,1,1005.3,1999,2001,1,1,75.01,75.11
DEU,0,0,0,0,1,1005.3,1999,2001,1,2,81.02,81.07
DEU,0,0,0,0,1,1005.3,1999,2001,2,1,75.01,75.11
DEU,0,0,0,0,1,1005.3,1999,2001,2,2,81.02,81.07
DEU,0,0,0,0,1,1005.2,2000,2002,1,1,75.38,75.38
DEU,0,0,0,0,1,1005.2,2000,2002,1,2,81.21,81.22
DEU,0,0,0,0,1,1005.2,2000,2002,2,1,75.38,75.38
DEU,0,0,0,0,1,1005.2,2000,2002,2,2,81.21,81.22
DEU,0,0,0,0,1,1005.1,2001,2003,1,1,75.59,75.59
DEU,0,0,0,0,1,1005.1,2001,2003,1,2,81.34,81.34
DEU,0,0,0,0,1,1005.1,2001,2003,2,1,75.59,75.59
DEU,0,0,0,0,1,1005.1,2001,2003,2,2,81.34,81.34
DEU,0,0,0,0,1,1178.1,2002,2004,1,1,75.89,75.89
DEU,0,0,0,0,1,1178.1,2002,2004,1,2,81.55,81.55
DEU,0,0,0,0,1,1178.1,2002,2004,2,1,75.89,75.89
DEU,0,0,0,0,1,1178.1,2002,2004,2,2,81.55,81.55
DEU,0,0,0,0,1,1171.1,2003,2005,1,1,76.21,76.2
DEU,0,0,0,0,1,1171.1,2003,2005,1,2,81.78,81.76
DEU,0,0,0,0,1,1171.1,2003,2005,2,1,76.21,76.2
DEU,0,0,0,0,1,1171.1,2003,2005,2,2,81.78,81.76
DEU,0,0,0,0,1,1172.1,2004,2006,1,1,76.63,76.63
DEU,0,0,0,0,1,1172.1,2004,2006,1,2,82.07,82.06
DEU,0,0,0,0,1,1172.1,2004,2006,2,1,76.63,76.63
DEU,0,0,0,0,1,1172.1,2004,2006,2,2,82.07,82.06
DEU,0,0,0,0,1,1175.1,2005,2007,1,1,76.89,76.89
DEU,0,0,0,0,1,1175.1,2005,2007,1,2,82.25,82.23
DEU,0,0,0,0,1,1175.1,2005,2007,2,1,76.89,76.89
DEU,0,0,0,0,1,1175.1,2005,2007,2,2,82.25,82.23
DEU,0,0,0,0,1,1177.1,2006,2008,1,1,77.16,77.16
DEU,0,0,0,0,1,1177.1,2006,2008,1,2,82.4,82.38
DEU,0,0,0,0,1,1177.1,2006,2008,2,1,77.16,77.16
DEU,0,0,0,0,1,1177.1,2006,2008,2,2,82.4,82.38
DEU,0,0,0,0,1,1740.01,2007,2007,1,1,76.89,76.89
DEU,0,0,0,0,1,1740.01,2007,2007,1,2,82.25,82.25
DEU,0,0,0,0,1,1740.01,2007,2007,2,1,76.89,76.89
DEU,0,0,0,0,1,1740.01,2007,2007,2,2,82.25,82.25
DEU,0,0,0,0,1,1475.1,2007,2009,1,1,77.33,77.33
DEU,0,0,0,0,1,1475.1,2007,2009,1,2,82.52,82.53
DEU,0,0,0,0,1,1475.1,2007,2009,2,1,77.33,77.33
DEU,0,0,0,0,1,1475.1,2007,2009,2,2,82.52,82.53
DEU,0,0,0,0,1,1740.03,2008,2008,1,1,77.16,77.17
DEU,0,0,0,0,1,1740.03,2008,2008,1,2,82.4,82.4
DEU,0,0,0,0,1,1740.03,2008,2008,2,1,77.16,77.17
DEU,0,0,0,0,1,1740.03,2008,2008,2,2,82.4,82.4
DEU,0,0,0,0,1,1740.04,2009,2009,1,1,77.33,77.33
DEU,0,0,0,0,1,1740.04,2009,2009,1,2,82.52,82.53
DEU,0,0,0,0,1,1740.04,2009,2009,2,1,77.33,77.33
DEU,0,0,0,0,1,1740.04,2009,2009,2,2,82.52,82.53
DEU,0,0,0,0,1,1596.01,2009,2011,1,1,77.72,77.72
DEU,0,0,0,0,1,1596.01,2009,2011,1,2,82.72,82.73
DEU,0,0,0,0,1,1596.01,2009,2011,2,1,77.72,77.72
DEU,0,0,0,0,1,1596.01,2009,2011,2,2,82.72,82.73
DEU,0,0,0,0,1,1740.05,2010,2010,1,1,77.51,77.51
DEU,0,0,0,0,1,1740.05,2010,2010,1,2,82.59,82.59
DEU,0,0,0,0,1,1740.05,2010,2010,2,1,77.51,77.51
DEU,0,0,0,0,1,1740.05,2010,2010,2,2,82.59,82.59
