Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,e(x),e(x)Orig
USA,0,0,0,0,1,1459.1,1900,1902,4,1,47.89,47.88
USA,0,0,0,0,1,1459.1,1900,1902,4,2,50.71,50.7
USA,0,0,0,0,1,427.1,1900,1900,1,1,46.41,46.41
USA,0,0,0,0,1,427.1,1900,1900,1,2,48.96,48.96
USA,0,0,0,0,1,427.1,1900,1900,2,1,46.41,46.41
USA,0,0,0,0,1,427.1,1900,1900,2,2,48.96,48.96
USA,0,0,0,0,1,427.1,1901,1901,1,1,47.87,47.87
USA,0,0,0,0,1,427.1,1901,1901,1,2,50.87,50.86
USA,0,0,0,0,1,427.1,1901,1901,2,1,47.87,47.87
USA,0,0,0,0,1,427.1,1901,1901,2,2,50.87,50.86
USA,0,0,0,0,1,427.1,1902,1902,1,1,49.02,49.02
USA,0,0,0,0,1,427.1,1902,1902,1,2,52.09,52.08
USA,0,0,0,0,1,427.1,1902,1902,2,1,49.02,49.02
USA,0,0,0,0,1,427.1,1902,1902,2,2,52.09,52.08
USA,0,0,0,0,1,427.1,1903,1903,1,1,49.21,49.2
USA,0,0,0,0,1,427.1,1903,1903,1,2,52.12,52.12
USA,0,0,0,0,1,427.1,1903,1903,2,1,49.21,49.2
USA,0,0,0,0,1,427.1,1903,1903,2,2,52.12,52.12
USA,0,0,0,0,1,427.1,1904,1904,1,1,48.09,48.08
USA,0,0,0,0,1,427.1,1904,1904,1,2,51.1,51.1
USA,0,0,0,0,1,427.1,1904,1904,2,1,48.09,48.08
USA,0,0,0,0,1,427.1,1904,1904,2,2,51.1,51.1
USA,0,0,0,0,1,427.1,1905,1905,1,1,48.74,48.73
USA,0,0,0,0,1,427.1,1905,1905,1,2,51.88,51.88
USA,0,0,0,0,1,427.1,1905,1905,2,1,48.74,48.73
USA,0,0,0,0,1,427.1,1905,1905,2,2,51.88,51.88
USA,0,0,0,0,1,427.1,1906,1906,1,1,48.28,48.27
USA,0,0,0,0,1,427.1,1906,1906,1,2,51.96,51.96
USA,0,0,0,0,1,427.1,1906,1906,2,1,48.28,48.27
USA,0,0,0,0,1,427.1,1906,1906,2,2,51.96,51.96
USA,0,0,0,0,1,427.1,1907,1907,1,1,48.3,48.29
USA,0,0,0,0,1,427.1,1907,1907,1,2,52.22,52.22
USA,0,0,0,0,1,427.1,1907,1907,2,1,48.3,48.29
USA,0,0,0,0,1,427.1,1907,1907,2,2,52.22,52.22
USA,0,0,0,0,1,427.1,1908,1908,1,1,50.22,50.22
USA,0,0,0,0,1,427.1,1908,1908,1,2,53.6,53.59
USA,0,0,0,0,1,427.1,1908,1908,2,1,50.22,50.22
USA,0,0,0,0,1,427.1,1908,1908,2,2,53.6,53.59
USA,0,0,0,0,1,427.1,1909,1909,1,1,51.13,51.12
USA,0,0,0,0,1,427.1,1909,1909,1,2,54.46,54.46
USA,0,0,0,0,1,427.1,1909,1909,2,1,51.13,51.12
USA,0,0,0,0,1,427.1,1909,1909,2,2,54.46,54.46
USA,0,0,0,0,1,427.1,1910,1910,1,1,50.09,50.08
USA,0,0,0,0,1,427.1,1910,1910,1,2,53.59,53.58
USA,0,0,0,0,1,427.1,1910,1910,2,1,50.09,50.08
USA,0,0,0,0,1,427.1,1910,1910,2,2,53.59,53.58
USA,0,0,0,0,1,427.1,1911,1911,1,1,51.8,51.8
USA,0,0,0,0,1,427.1,1911,1911,1,2,55.05,55.05
USA,0,0,0,0,1,427.1,1911,1911,2,1,51.8,51.8
USA,0,0,0,0,1,427.1,1911,1911,2,2,55.05,55.05
USA,0,0,0,0,1,427.1,1912,1912,1,1,52.35,52.34
USA,0,0,0,0,1,427.1,1912,1912,1,2,55.87,55.87
USA,0,0,0,0,1,427.1,1912,1912,2,1,52.35,52.34
USA,0,0,0,0,1,427.1,1912,1912,2,2,55.87,55.87
USA,0,0,0,0,1,427.1,1913,1913,1,1,51.73,51.72
USA,0,0,0,0,1,427.1,1913,1913,1,2,55.45,55.45
USA,0,0,0,0,1,427.1,1913,1913,2,1,51.73,51.72
USA,0,0,0,0,1,427.1,1913,1913,2,2,55.45,55.45
USA,0,0,0,0,1,427.1,1914,1914,1,1,52.88,52.87
USA,0,0,0,0,1,427.1,1914,1914,1,2,56.33,56.33
USA,0,0,0,0,1,427.1,1914,1914,2,1,52.88,52.87
USA,0,0,0,0,1,427.1,1914,1914,2,2,56.33,56.33
USA,0,0,0,0,1,427.1,1915,1915,1,1,53.51,53.51
USA,0,0,0,0,1,427.1,1915,1915,1,2,56.8,56.79
USA,0,0,0,0,1,427.1,1915,1915,2,1,53.51,53.51
USA,0,0,0,0,1,427.1,1915,1915,2,2,56.8,56.79
USA,0,0,0,0,1,427.1,1916,1916,1,1,52.43,52.42
USA,0,0,0,0,1,427.1,1916,1916,1,2,55.99,55.98
USA,0,0,0,0,1,427.1,1916,1916,2,1,52.43,52.42
USA,0,0,0,0,1,427.1,1916,1916,2,2,55.99,55.98
USA,0,0,0,0,1,427.1,1917,1917,1,1,52.19,52.18
USA,0,0,0,0,1,427.1,1917,1917,1,2,55.92,55.91
USA,0,0,0,0,1,427.1,1917,1917,2,1,52.19,52.18
USA,0,0,0,0,1,427.1,1917,1917,2,2,55.92,55.91
USA,0,0,0,0,1,427.1,1918,1918,1,1,45.35,45.34
USA,0,0,0,0,1,427.1,1918,1918,1,2,49.08,49.08
USA,0,0,0,0,1,427.1,1918,1918,2,1,45.35,45.34
USA,0,0,0,0,1,427.1,1918,1918,2,2,49.08,49.08
USA,0,0,0,0,1,427.1,1919,1919,1,1,54.2,54.19
USA,0,0,0,0,1,427.1,1919,1919,1,2,56.45,56.45
USA,0,0,0,0,1,427.1,1919,1919,2,1,54.2,54.19
USA,0,0,0,0,1,427.1,1919,1919,2,2,56.45,56.45
USA,0,0,0,0,1,427.1,1920,1920,1,1,54.51,54.51
USA,0,0,0,0,1,427.1,1920,1920,1,2,56.27,56.27
USA,0,0,0,0,1,427.1,1920,1920,2,1,54.51,54.51
USA,0,0,0,0,1,427.1,1920,1920,2,2,56.27,56.27
USA,0,0,0,0,1,427.1,1921,1921,1,1,57.26,57.25
USA,0,0,0,0,1,427.1,1921,1921,1,2,59.26,59.26
USA,0,0,0,0,1,427.1,1921,1921,2,1,57.26,57.25
USA,0,0,0,0,1,427.1,1921,1921,2,2,59.26,59.26
USA,0,0,0,0,1,427.1,1922,1922,1,1,57.02,57.02
USA,0,0,0,0,1,427.1,1922,1922,1,2,59.33,59.33
USA,0,0,0,0,1,427.1,1922,1922,2,1,57.02,57.02
USA,0,0,0,0,1,427.1,1922,1922,2,2,59.33,59.33
USA,0,0,0,0,1,427.1,1923,1923,1,1,56.32,56.32
USA,0,0,0,0,1,427.1,1923,1923,1,2,58.74,58.74
USA,0,0,0,0,1,427.1,1923,1923,2,1,56.32,56.32
USA,0,0,0,0,1,427.1,1923,1923,2,2,58.74,58.74
USA,0,0,0,0,1,427.1,1924,1924,1,1,57.16,57.15
USA,0,0,0,0,1,427.1,1924,1924,1,2,59.9,59.91
USA,0,0,0,0,1,427.1,1924,1924,2,1,57.16,57.15
USA,0,0,0,0,1,427.1,1924,1924,2,2,59.9,59.91
USA,0,0,0,0,1,427.1,1925,1925,1,1,57.23,57.23
USA,0,0,0,0,1,427.1,1925,1925,1,2,59.93,59.93
USA,0,0,0,0,1,427.1,1925,1925,2,1,57.23,57.23
USA,0,0,0,0,1,427.1,1925,1925,2,2,59.93,59.93
USA,0,0,0,0,1,427.1,1926,1926,1,1,56.57,56.57
USA,0,0,0,0,1,427.1,1926,1926,1,2,59.33,59.33
USA,0,0,0,0,1,427.1,1926,1926,2,1,56.57,56.57
USA,0,0,0,0,1,427.1,1926,1926,2,2,59.33,59.33
USA,0,0,0,0,1,427.1,1927,1927,1,1,57.94,57.94
USA,0,0,0,0,1,427.1,1927,1927,1,2,60.86,60.86
USA,0,0,0,0,1,427.1,1927,1927,2,1,57.94,57.94
USA,0,0,0,0,1,427.1,1927,1927,2,2,60.86,60.86
USA,0,0,0,0,1,427.1,1928,1928,1,1,56.78,56.78
USA,0,0,0,0,1,427.1,1928,1928,1,2,59.82,59.82
USA,0,0,0,0,1,427.1,1928,1928,2,1,56.78,56.78
USA,0,0,0,0,1,427.1,1928,1928,2,2,59.82,59.82
USA,0,0,0,0,1,427.1,1929,1929,1,1,56.99,56.99
USA,0,0,0,0,1,427.1,1929,1929,1,2,60.16,60.16
USA,0,0,0,0,1,427.1,1929,1929,2,1,56.99,56.99
USA,0,0,0,0,1,427.1,1929,1929,2,2,60.16,60.16
USA,0,0,0,0,1,427.1,1930,1930,1,1,57.96,57.96
USA,0,0,0,0,1,427.1,1930,1930,1,2,61.31,61.31
USA,0,0,0,0,1,427.1,1930,1930,2,1,57.96,57.96
USA,0,0,0,0,1,427.1,1930,1930,2,2,61.31,61.31
USA,0,0,0,0,1,427.1,1931,1931,1,1,58.57,58.57
USA,0,0,0,0,1,427.1,1931,1931,1,2,62.02,62.02
USA,0,0,0,0,1,427.1,1931,1931,2,1,58.57,58.57
USA,0,0,0,0,1,427.1,1931,1931,2,2,62.02,62.02
USA,0,0,0,0,1,427.1,1932,1932,1,1,59.45,59.44
USA,0,0,0,0,1,427.1,1932,1932,1,2,62.59,62.59
USA,0,0,0,0,1,427.1,1932,1932,2,1,59.45,59.44
USA,0,0,0,0,1,427.1,1932,1932,2,2,62.59,62.59
USA,0,0,0,0,1,427.1,1933,1933,1,1,59.58,59.58
USA,0,0,0,0,1,427.1,1933,1933,1,2,63.03,63.03
USA,0,0,0,0,1,427.1,1933,1933,2,1,59.58,59.58
USA,0,0,0,0,1,427.1,1933,1933,2,2,63.03,63.03
USA,0,0,0,0,1,427.1,1934,1934,1,1,58.85,58.85
USA,0,0,0,0,1,427.1,1934,1934,1,2,62.68,62.68
USA,0,0,0,0,1,427.1,1934,1934,2,1,58.85,58.85
USA,0,0,0,0,1,427.1,1934,1934,2,2,62.68,62.68
USA,0,0,0,0,1,427.1,1935,1935,1,1,59.42,59.42
USA,0,0,0,0,1,427.1,1935,1935,1,2,63.32,63.32
USA,0,0,0,0,1,427.1,1935,1935,2,1,59.42,59.42
USA,0,0,0,0,1,427.1,1935,1935,2,2,63.32,63.32
USA,0,0,0,0,1,427.1,1936,1936,1,1,58.75,58.75
USA,0,0,0,0,1,427.1,1936,1936,1,2,62.85,62.85
USA,0,0,0,0,1,427.1,1936,1936,2,1,58.75,58.75
USA,0,0,0,0,1,427.1,1936,1936,2,2,62.85,62.85
USA,0,0,0,0,1,427.1,1937,1937,1,1,59.36,59.36
USA,0,0,0,0,1,427.1,1937,1937,1,2,63.58,63.58
USA,0,0,0,0,1,427.1,1937,1937,2,1,59.36,59.36
USA,0,0,0,0,1,427.1,1937,1937,2,2,63.58,63.58
USA,0,0,0,0,1,427.1,1938,1938,1,1,60.82,60.81
USA,0,0,0,0,1,427.1,1938,1938,1,2,64.74,64.74
USA,0,0,0,0,1,427.1,1938,1938,2,1,60.82,60.81
USA,0,0,0,0,1,427.1,1938,1938,2,2,64.74,64.74
USA,0,0,0,0,1,427.1,1939,1939,1,1,61.44,61.44
USA,0,0,0,0,1,427.1,1939,1939,1,2,65.41,65.41
USA,0,0,0,0,1,427.1,1939,1939,2,1,61.44,61.44
USA,0,0,0,0,1,427.1,1939,1939,2,2,65.41,65.41
USA,0,0,0,0,1,427.1,1940,1940,1,1,61.43,61.43
USA,0,0,0,0,1,427.1,1940,1940,1,2,65.74,65.74
USA,0,0,0,0,1,427.1,1940,1940,2,1,61.43,61.43
USA,0,0,0,0,1,427.1,1940,1940,2,2,65.74,65.74
USA,0,0,0,0,1,427.1,1941,1941,1,1,61.9,61.9
USA,0,0,0,0,1,427.1,1941,1941,1,2,66.46,66.46
USA,0,0,0,0,1,427.1,1941,1941,2,1,61.9,61.9
USA,0,0,0,0,1,427.1,1941,1941,2,2,66.46,66.46
USA,0,0,0,0,1,427.1,1942,1942,1,1,62.59,62.58
USA,0,0,0,0,1,427.1,1942,1942,1,2,67.36,67.36
USA,0,0,0,0,1,427.1,1942,1942,2,1,62.59,62.58
USA,0,0,0,0,1,427.1,1942,1942,2,2,67.36,67.36
USA,0,0,0,0,1,427.1,1943,1943,1,1,62.25,62.25
USA,0,0,0,0,1,427.1,1943,1943,1,2,67.1,67.1
USA,0,0,0,0,1,427.1,1943,1943,2,1,62.25,62.25
USA,0,0,0,0,1,427.1,1943,1943,2,2,67.1,67.1
USA,0,0,0,0,1,427.1,1944,1944,1,1,62.68,62.68
USA,0,0,0,0,1,427.1,1944,1944,1,2,67.82,67.82
USA,0,0,0,0,1,427.1,1944,1944,2,1,62.68,62.68
USA,0,0,0,0,1,427.1,1944,1944,2,2,67.82,67.82
USA,0,0,0,0,1,427.1,1945,1945,1,1,62.87,62.87
USA,0,0,0,0,1,427.1,1945,1945,1,2,68.44,68.44
USA,0,0,0,0,1,427.1,1945,1945,2,1,62.87,62.87
USA,0,0,0,0,1,427.1,1945,1945,2,2,68.44,68.44
USA,0,0,0,0,1,427.1,1946,1946,1,1,64.26,64.25
USA,0,0,0,0,1,427.1,1946,1946,1,2,69.21,69.21
USA,0,0,0,0,1,427.1,1946,1946,2,1,64.26,64.25
USA,0,0,0,0,1,427.1,1946,1946,2,2,69.21,69.21
USA,0,0,0,0,1,427.1,1947,1947,1,1,64.57,64.57
USA,0,0,0,0,1,427.1,1947,1947,1,2,69.68,69.68
USA,0,0,0,0,1,427.1,1947,1947,2,1,64.57,64.57
USA,0,0,0,0,1,427.1,1947,1947,2,2,69.68,69.68
USA,0,0,0,0,1,427.1,1948,1948,1,1,64.84,64.84
USA,0,0,0,0,1,427.1,1948,1948,1,2,70.16,70.16
USA,0,0,0,0,1,427.1,1948,1948,2,1,64.84,64.84
USA,0,0,0,0,1,427.1,1948,1948,2,2,70.16,70.16
USA,0,0,0,0,1,427.1,1949,1949,1,1,65.27,65.26
USA,0,0,0,0,1,427.1,1949,1949,1,2,70.66,70.66
USA,0,0,0,0,1,427.1,1949,1949,2,1,65.27,65.26
USA,0,0,0,0,1,427.1,1949,1949,2,2,70.66,70.66
USA,0,0,0,0,1,427.1,1950,1950,1,1,65.63,65.63
USA,0,0,0,0,1,427.1,1950,1950,1,2,71.13,71.13
USA,0,0,0,0,1,427.1,1950,1950,2,1,65.63,65.63
USA,0,0,0,0,1,427.1,1950,1950,2,2,71.13,71.13
USA,0,0,0,0,1,427.1,1951,1951,1,1,65.66,65.66
USA,0,0,0,0,1,427.1,1951,1951,1,2,71.36,71.36
USA,0,0,0,0,1,427.1,1951,1951,2,1,65.66,65.66
USA,0,0,0,0,1,427.1,1951,1951,2,2,71.36,71.36
USA,0,0,0,0,1,427.1,1952,1952,1,1,65.78,65.78
USA,0,0,0,0,1,427.1,1952,1952,1,2,71.62,71.62
USA,0,0,0,0,1,427.1,1952,1952,2,1,65.78,65.78
USA,0,0,0,0,1,427.1,1952,1952,2,2,71.62,71.62
USA,0,0,0,0,1,427.1,1953,1953,1,1,65.98,65.98
USA,0,0,0,0,1,427.1,1953,1953,1,2,71.98,71.98
USA,0,0,0,0,1,427.1,1953,1953,2,1,65.98,65.98
USA,0,0,0,0,1,427.1,1953,1953,2,2,71.98,71.98
USA,0,0,0,0,1,427.1,1954,1954,1,1,66.74,66.74
USA,0,0,0,0,1,427.1,1954,1954,1,2,72.74,72.75
USA,0,0,0,0,1,427.1,1954,1954,2,1,66.74,66.74
USA,0,0,0,0,1,427.1,1954,1954,2,2,72.74,72.75
USA,0,0,0,0,1,427.1,1955,1955,1,1,66.72,66.72
USA,0,0,0,0,1,427.1,1955,1955,1,2,72.81,72.81
USA,0,0,0,0,1,427.1,1955,1955,2,1,66.72,66.72
USA,0,0,0,0,1,427.1,1955,1955,2,2,72.81,72.81
USA,0,0,0,0,1,427.1,1956,1956,1,1,66.73,66.73
USA,0,0,0,0,1,427.1,1956,1956,1,2,72.94,72.94
